<TICKER>,<DTYYYYMMDD>,<CLOSE>
فملي-ت,20180729,791.18
فملي-ت,20180730,829.18
فملي-ت,20180731,870.59
فملي-ت,20180801,866.92
فملي-ت,20180804,870.06
فملي-ت,20180805,912.52
فملي-ت,20180806,958.12
فملي-ت,20180807,981.18
فملي-ت,20180808,981.18
فملي-ت,20180811,981.18
فملي-ت,20180812,960.74
فملي-ت,20180813,929.03
فملي-ت,20180814,972.01
فملي-ت,20180815,971.74
فملي-ت,20180818,958.12
فملي-ت,20180819,994.54
فملي-ت,20180820,1043.29
فملي-ت,20180821,1070.28
فملي-ت,20180825,1046.43
فملي-ت,20180826,1084.96
فملي-ت,20180827,1098.32
فملي-ت,20180828,1051.41
فملي-ت,20180829,1038.57
فملي-ت,20180901,1016.03
فملي-ت,20180902,976.72
فملي-ت,20180903,1010.79
فملي-ت,20180904,1040.93
فملي-ت,20180905,1026.52
فملي-ت,20180908,1032.81
فملي-ت,20180909,1035.16
فملي-ت,20180910,1073.43
فملي-ت,20180911,1078.67
فملي-ت,20180912,1106.71
فملي-ت,20180915,1069.23
فملي-ت,20180916,1035.69
فملي-ت,20180917,1036.47
فملي-ت,20180918,1019.44
فملي-ت,20180922,1054.82
فملي-ت,20180923,1071.85
فملي-ت,20180924,1110.38
فملي-ت,20180925,1158.07
فملي-ت,20180926,1200.27
فملي-ت,20180929,1194.50
فملي-ت,20180930,1242.20
فملي-ت,20181001,1251.89
فملي-ت,20181002,1189.52
فملي-ت,20181003,1137.63
فملي-ت,20181006,1101.99
فملي-ت,20181007,1052.20
فملي-ت,20181008,1063.47
فملي-ت,20181009,1113.78
فملي-ت,20181010,1129.51
فملي-ت,20181013,1082.07
فملي-ت,20181014,1093.87
فملي-ت,20181015,1143.92
فملي-ت,20181016,1147.33
فملي-ت,20181017,1136.85
فملي-ت,20181020,1184.28
فملي-ت,20181021,1204.20
فملي-ت,20181022,1200.00
فملي-ت,20181023,1171.96
فملي-ت,20181024,1143.66
فملي-ت,20181027,1123.22
فملي-ت,20181028,1127.41
فملي-ت,20181029,1128.98
فملي-ت,20181031,1104.35
فملي-ت,20181103,1117.71
فملي-ت,20181104,1113.26
فملي-ت,20181105,1112.47
فملي-ت,20181106,1120.60
فملي-ت,20181110,1103.30
فملي-ت,20181111,1067.40
فملي-ت,20181112,1081.29
