<TICKER>,<DTYYYYMMDD>,<CLOSE>
حكشتي-ت,20190224,3253.61
حكشتي-ت,20190225,3251.37
حكشتي-ت,20190226,3233.47
حكشتي-ت,20190227,3212.58
حكشتي-ت,20190302,3135.01
حكشتي-ت,20190303,3167.08
حكشتي-ت,20190304,3168.58
حكشتي-ت,20190305,3155.15
حكشتي-ت,20190306,3147.69
حكشتي-ت,20190309,3149.93
حكشتي-ت,20190310,3144.71
حكشتي-ت,20190311,3159.62
حكشتي-ت,20190312,3161.86
حكشتي-ت,20190313,3249.88
حكشتي-ت,20190316,3246.15
حكشتي-ت,20190317,3236.45
حكشتي-ت,20190318,3251.37
حكشتي-ت,20190319,3411.74
حكشتي-ت,20190325,3572.11
حكشتي-ت,20190326,3581.80
حكشتي-ت,20190327,3546.00
حكشتي-ت,20190330,3597.47
حكشتي-ت,20190331,3558.68
حكشتي-ت,20190406,3516.91
حكشتي-ت,20190407,3537.05
حكشتي-ت,20190408,3456.49
حكشتي-ت,20190409,3355.80
حكشتي-ت,20190410,3472.90
حكشتي-ت,20190413,3607.91
حكشتي-ت,20190414,3576.58
حكشتي-ت,20190415,3607.16
حكشتي-ت,20190416,3533.32
حكشتي-ت,20190417,3492.30
حكشتي-ت,20190420,3655.65
حكشتي-ت,20190422,3830.19
حكشتي-ت,20190423,3742.17
حكشتي-ت,20190424,3663.85
حكشتي-ت,20190427,3695.18
حكشتي-ت,20190428,3859.28
حكشتي-ت,20190429,4051.72
حكشتي-ت,20190430,4066.64
حكشتي-ت,20190501,4251.62
حكشتي-ت,20190504,4244.16
حكشتي-ت,20190505,4100.20
حكشتي-ت,20190506,3964.45
حكشتي-ت,20190507,3774.99
حكشتي-ت,20190508,3651.17
حكشتي-ت,20190511,3559.43
حكشتي-ت,20190512,3410.99
حكشتي-ت,20190513,3522.88
حكشتي-ت,20190514,3686.23
حكشتي-ت,20190515,3653.41
حكشتي-ت,20190518,3830.93
حكشتي-ت,20190519,3782.45
حكشتي-ت,20190520,3694.43
حكشتي-ت,20190521,3708.61
حكشتي-ت,20190522,3675.04
حكشتي-ت,20190525,3658.63
حكشتي-ت,20190526,3736.20
حكشتي-ت,20190528,3783.20
حكشتي-ت,20190529,3708.61
حكشتي-ت,20190601,3592.99
حكشتي-ت,20190602,3645.95
حكشتي-ت,20190603,3647.44
حكشتي-ت,20190608,3784.69
حكشتي-ت,20190609,3971.91
حكشتي-ت,20190610,3972.65
حكشتي-ت,20190611,3956.24
حكشتي-ت,20190612,4036.05
حكشتي-ت,20190615,4003.24
حكشتي-ت,20190616,4021.88
حكشتي-ت,20190617,3986.83
حكشتي-ت,20190618,3912.24
حكشتي-ت,20190619,3744.41
حكشتي-ت,20190622,3689.21
حكشتي-ت,20190623,3833.17
حكشتي-ت,20190624,3857.04
حكشتي-ت,20190625,3772.01
حكشتي-ت,20190626,3813.03
حكشتي-ت,20190630,3941.33
حكشتي-ت,20190701,3940.58
حكشتي-ت,20190702,3944.31
حكشتي-ت,20190703,4090.51
حكشتي-ت,20190706,3989.81
حكشتي-ت,20190707,3932.37
حكشتي-ت,20190708,3924.92
حكشتي-ت,20190709,3913.73
حكشتي-ت,20190710,3925.66
حكشتي-ت,20190713,4006.96
حكشتي-ت,20190714,4193.44
حكشتي-ت,20190715,4382.15
حكشتي-ت,20190716,4191.20
حكشتي-ت,20190717,4098.71
حكشتي-ت,20190720,4003.98
حكشتي-ت,20190721,4022.63
حكشتي-ت,20190722,4019.65
حكشتي-ت,20190723,3953.26
حكشتي-ت,20190724,3984.59
حكشتي-ت,20190727,3927.90
حكشتي-ت,20190728,3917.46
حكشتي-ت,20190729,3880.91
حكشتي-ت,20190730,3896.57
حكشتي-ت,20190731,3860.77
حكشتي-ت,20190803,3897.32
حكشتي-ت,20190804,3995.03
حكشتي-ت,20190805,4141.23
حكشتي-ت,20190806,4056.19
حكشتي-ت,20190807,4110.64
حكشتي-ت,20190810,4285.93
حكشتي-ت,20190811,4341.13
حكشتي-ت,20190813,4549.98
حكشتي-ت,20190814,4607.41
حكشتي-ت,20190817,4527.60
حكشتي-ت,20190818,4540.28
حكشتي-ت,20190819,4667.83
حكشتي-ت,20190821,4827.45
حكشتي-ت,20190824,4996.03
حكشتي-ت,20190825,4792.40
حكشتي-ت,20190826,4847.59
حكشتي-ت,20190827,4767.03
حكشتي-ت,20190828,4603.68
حكشتي-ت,20190831,4677.53
حكشتي-ت,20190901,4606.67
حكشتي-ت,20190902,4527.60
حكشتي-ت,20190903,4690.21
حكشتي-ت,20190904,4847.59
حكشتي-ت,20190907,4809.55
حكشتي-ت,20190908,4727.50
حكشتي-ت,20190911,4791.65
حكشتي-ت,20190914,4960.22
حكشتي-ت,20190915,4864.75
حكشتي-ت,20190916,4762.56
