<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20180701,5554.73
همراه-ت,20180702,5540.08
همراه-ت,20180703,5490.18
همراه-ت,20180704,5486.22
همراه-ت,20180707,5535.32
همراه-ت,20180708,5520.67
همراه-ت,20180710,5531.76
همراه-ت,20180711,5560.27
همراه-ت,20180714,5564.63
همراه-ت,20180715,5589.97
همراه-ت,20180716,5652.93
همراه-ت,20180717,5715.49
همراه-ت,20180718,5716.68
همراه-ت,20180721,5764.99
همراه-ت,20180722,5743.21
همراه-ت,20180723,5749.55
همراه-ت,20180724,5764.59
همراه-ت,20180725,5749.55
همراه-ت,20180726,5749.55
همراه-ت,20180727,5749.55
همراه-ت,20180728,5696.49
همراه-ت,20180729,5688.17
همراه-ت,20180730,5593.14
همراه-ت,20180731,5704.80
همراه-ت,20180801,5683.02
همراه-ت,20180804,5663.62
همراه-ت,20180805,5666.00
همراه-ت,20180806,5662.83
همراه-ت,20180807,5795.08
همراه-ت,20180808,5868.73
همراه-ت,20180811,5922.19
همراه-ت,20180812,5962.98
همراه-ت,20180813,6006.93
همراه-ت,20180814,6046.53
همراه-ت,20180815,6294.80
همراه-ت,20180818,6471.80
همراه-ت,20180819,6460.32
همراه-ت,20180820,6327.67
همراه-ت,20180821,6236.20
همراه-ت,20180825,6179.97
همراه-ت,20180826,6302.33
همراه-ت,20180827,6300.35
همراه-ت,20180828,6297.18
همراه-ت,20180829,6276.59
همراه-ت,20180901,6273.82
همراه-ت,20180902,6304.70
همراه-ت,20180903,6310.25
همراه-ت,20180904,6303.12
همراه-ت,20180905,6256.79
همراه-ت,20180908,6229.07
همراه-ت,20180909,6186.31
همراه-ت,20180910,6233.43
همراه-ت,20180911,6274.61
همراه-ت,20180912,6370.83
همراه-ت,20180915,6666.62
همراه-ت,20180916,6729.98
همراه-ت,20180917,6777.89
همراه-ت,20180918,6729.19
همراه-ت,20180922,7040.42
همراه-ت,20180923,7392.44
همراه-ت,20180924,7755.95
همراه-ت,20180925,7766.24
همراه-ت,20180926,7729.42
همراه-ت,20180929,7577.76
همراه-ت,20180930,7824.06
همراه-ت,20181001,7751.20
همراه-ت,20181002,7436.79
همراه-ت,20181003,7243.56
همراه-ت,20181006,7336.22
همراه-ت,20181007,7007.95
همراه-ت,20181008,6846.00
همراه-ت,20181009,7154.86
همراه-ت,20181010,7292.66
همراه-ت,20181013,7146.94
همراه-ت,20181014,7083.58
همراه-ت,20181015,7154.46
همراه-ت,20181016,7167.53
همراه-ت,20181017,7301.37
همراه-ت,20181020,7514.01
همراه-ت,20181021,7524.70
همراه-ت,20181022,7488.27
همراه-ت,20181023,7474.81
همراه-ت,20181024,7505.69
