<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20181008,2399.84
شپنا-ت,20181009,2516.24
شپنا-ت,20181010,2611.24
شپنا-ت,20181013,2505.66
شپنا-ت,20181014,2391.38
شپنا-ت,20181015,2446.17
شپنا-ت,20181016,2375.39
شپنا-ت,20181017,2398.20
شپنا-ت,20181020,2514.12
شپنا-ت,20181021,2600.18
شپنا-ت,20181022,2550.10
شپنا-ت,20181023,2550.10
شپنا-ت,20181024,2351.88
شپنا-ت,20181027,2258.76
شپنا-ت,20181028,2226.08
شپنا-ت,20181029,2232.66
شپنا-ت,20181031,2147.54
شپنا-ت,20181103,2125.44
شپنا-ت,20181104,2113.21
شپنا-ت,20181105,2116.97
شپنا-ت,20181106,2130.61
شپنا-ت,20181110,2080.52
شپنا-ت,20181111,2011.39
شپنا-ت,20181112,2035.38
شپنا-ت,20181113,2060.30
شپنا-ت,20181114,1974.24
شپنا-ت,20181117,1917.57
شپنا-ت,20181118,1843.27
شپنا-ت,20181119,1930.27
شپنا-ت,20181120,1956.60
شپنا-ت,20181121,1882.30
شپنا-ت,20181124,1788.24
شپنا-ت,20181126,1700.30
شپنا-ت,20181127,1735.81
شپنا-ت,20181128,1683.84
شپنا-ت,20181201,1617.77
شپنا-ت,20181202,1692.78
شپنا-ت,20181203,1777.19
شپنا-ت,20181204,1802.35
شپنا-ت,20181205,1828.92
شپنا-ت,20181208,1856.43
شپنا-ت,20181209,1825.40
شپنا-ت,20181210,1814.11
شپنا-ت,20181211,1776.25
شپنا-ت,20181212,1762.61
شپنا-ت,20181215,1764.73
شپنا-ت,20181216,1726.87
شپنا-ت,20181217,1712.76
شپنا-ت,20181218,1675.38
شپنا-ت,20181219,1595.90
شپنا-ت,20181222,1522.77
شپنا-ت,20181223,1589.08
شپنا-ت,20181224,1622.70
شپنا-ت,20181225,1579.44
شپنا-ت,20181226,1639.63
شپنا-ت,20181229,1717.70
شپنا-ت,20181230,1723.11
شپنا-ت,20181231,1728.99
شپنا-ت,20190101,1715.59
شپنا-ت,20190102,1661.03
شپنا-ت,20190105,1718.88
شپنا-ت,20190106,1708.53
شپنا-ت,20190107,1777.90
شپنا-ت,20190108,1851.50
شپنا-ت,20190109,1900.41
شپنا-ت,20190112,1895.23
شپنا-ت,20190113,1849.85
شپنا-ت,20190114,1855.26
شپنا-ت,20190115,1933.56
شپنا-ت,20190116,1948.84
شپنا-ت,20190119,2021.27
شپنا-ت,20190120,2093.69
شپنا-ت,20190121,2010.22
شپنا-ت,20190122,2006.69
شپنا-ت,20190123,1992.82
شپنا-ت,20190126,1925.10
شپنا-ت,20190127,1886.53
شپنا-ت,20190128,1938.97
شپنا-ت,20190129,1946.49
شپنا-ت,20190130,1948.14
شپنا-ت,20190202,1946.73
شپنا-ت,20190203,1918.04
شپنا-ت,20190204,1918.28
شپنا-ت,20190205,1914.51
شپنا-ت,20190206,1906.52
شپنا-ت,20190210,1893.12
شپنا-ت,20190212,1880.89
شپنا-ت,20190213,1859.49
شپنا-ت,20190216,1898.05
شپنا-ت,20190217,1922.98
شپنا-ت,20190218,1913.81
شپنا-ت,20190219,1909.58
شپنا-ت,20190220,1938.73
شپنا-ت,20190223,2029.97
شپنا-ت,20190224,2025.27
شپنا-ت,20190225,1990.46
شپنا-ت,20190226,1917.57
شپنا-ت,20190227,1934.97
شپنا-ت,20190302,1905.34
شپنا-ت,20190303,1908.87
شپنا-ت,20190304,1910.28
شپنا-ت,20190305,1888.41
شپنا-ت,20190306,1899.47
شپنا-ت,20190309,1884.18
شپنا-ت,20190310,1907.70
شپنا-ت,20190311,1993.29
شپنا-ت,20190312,1997.05
شپنا-ت,20190313,2033.02
شپنا-ت,20190316,2124.26
شپنا-ت,20190317,2124.49
شپنا-ت,20190318,2170.35
شپنا-ت,20190319,2173.17
شپنا-ت,20190325,2163.06
شپنا-ت,20190326,2161.88
شپنا-ت,20190327,2172.70
شپنا-ت,20190330,2212.67
شپنا-ت,20190331,2193.86
شپنا-ت,20190406,2243.71
شپنا-ت,20190407,2243.01
شپنا-ت,20190408,2327.66
شپنا-ت,20190409,2359.64
شپنا-ت,20190410,2361.05
شپنا-ت,20190413,2334.48
شپنا-ت,20190414,2359.64
